"dim_locations_key";"address_key";"city_key";"address";"city";"district";"postal_code";"phone"
643;38;284;"61 Tama Street";"Kurashiki";"Okayama";"94065";"708403338270"
644;39;544;"391 Callao Drive";"Toulouse";"Midi-Pyrnes";"34021";"440512153169"
645;40;31;"334 Munger (Monghyr) Lane";"Arak";"Markazi";"38145";"481183273622"
646;41;362;"1440 Fukuyama Loop";"Nanyang";"Henan";"47929";"912257250465"
647;42;115;"269 Cam Ranh Parkway";"Chisinau";"Chisinau";"34689";"489783829737"
648;43;569;"306 Antofagasta Place";"Vila Velha";"Esprito Santo";"3989";"378318851631"
649;44;353;"671 Graz Street";"Nador";"Oriental";"94399";"680768868518"
650;45;586;"42 Brindisi Place";"Yerevan";"Yerevan";"16744";"42384721397"
651;46;394;"1632 Bislig Avenue";"Pak Kret";"Nonthaburi";"61117";"471675840679"
652;47;167;"1447 Imus Way";"Faaa";"Tahiti";"48942";"539758313890"
653;48;308;"1998 Halifax Drive";"Lipetsk";"Lipetsk";"76022";"177727722820"
654;49;27;"1718 Valencia Street";"Antofagasta";"Antofagasta";"37359";"675292816413"
655;50;343;"46 Pjatigorsk Lane";"Moscow";"Moscow (City)";"23616";"262076994845"
656;51;247;"686 Garland Manor";"Juazeiro do Norte";"Cear";"52535";"69493378813"
657;52;367;"909 Garland Manor";"Niznekamsk";"Tatarstan";"69367";"705800322606"
658;53;237;"725 Isesaki Place";"Jedda";"Mekka";"74428";"876295323994"
659;54;379;"115 Hidalgo Parkway";"Omdurman";"Khartum";"80168";"307703950263"
660;55;171;"1135 Izumisano Parkway";"Fontana";"California";"48150";"171822533480"
661;56;1;"939 Probolinggo Loop";"A Corua (La Corua)";"Galicia";"4166";"680428310138"
662;57;355;"17 Kabul Boulevard";"Nagareyama";"Chiba";"38594";"697760867968"
663;58;227;"1964 Allappuzha (Alleppey) Street";"Iwakuni";"Yamaguchi";"48980";"920811325222"
664;59;49;"1697 Kowloon and New Kowloon Loop";"Balaiha";"Moskova";"57807";"499352017190"
665;60;397;"1668 Saint Louis Place";"Papeete";"Tahiti";"39072";"347487831378"
666;61;560;"943 Tokat Street";"Vaduz";"Vaduz";"45428";"889318963672"
667;62;282;"1114 Liepaja Street";"Kuching";"Sarawak";"69226";"212869228936"
668;63;350;"1213 Ranchi Parkway";"Mysore";"Karnataka";"94352";"800024380485"
669;64;231;"81 Hodeida Way";"Jaipur";"Rajasthan";"55561";"250767749542"
670;65;56;"915 Ponce Place";"Basel";"Basel-Stadt";"83980";"1395251317"
671;66;441;"1717 Guadalajara Lane";"Saint Louis";"Missouri";"85505";"914090181665"
672;67;306;"1214 Hanoi Way";"Lincoln";"Nebraska";"67055";"491001136577"
673;68;139;"1966 Amroha Avenue";"Daxian";"Sichuan";"70385";"333489324603"
674;69;105;"698 Otsu Street";"Cayenne";"Cayenne";"71110";"409983924481"
675;70;321;"1150 Kimchon Manor";"Malm";"Skne ln";"96109";"663449333709"
676;71;579;"1586 Guaruj Place";"Xiangtan";"Hunan";"5135";"947233365992"
677;72;475;"57 Arlington Manor";"Shivapuri";"Madhya Pradesh";"48960";"990214419142"
678;73;63;"1031 Daugavpils Parkway";"Bchar";"Bchar";"59025";"107137400143"
679;74;13;"1124 Buenaventura Drive";"al-Hawiya";"Mekka";"6856";"407733804223"
680;75;61;"492 Cam Ranh Street";"Baybay";"Eastern Visayas";"50805";"565018274456"
681;76;517;"89 Allappuzha (Alleppey) Manor";"Taguig";"National Capital Reg";"75444";"255800440636"
682;77;114;"1947 Poos de Caldas Boulevard";"Chiayi";"Chiayi";"60951";"427454485876"
683;78;431;"1206 Dos Quebradas Place";"Rio Claro";"So Paulo";"20207";"241832790687"
684;79;108;"1551 Rampur Lane";"Changhwa";"Changhwa";"72394";"251164340471"
685;80;402;"602 Paarl Street";"Pavlodar";"Pavlodar";"98889";"896314772871"
686;81;30;"1692 Ede Loop";"Araatuba";"So Paulo";"9223";"918711376618"
687;82;425;"936 Salzburg Lane";"Rae Bareli";"Uttar Pradesh";"96709";"875756771675"
688;83;256;"586 Tete Way";"Kamakura";"Kanagawa";"1079";"18581624103"
689;84;217;"1888 Kabul Drive";"Ife";"Oyo & Osun";"20936";"701457319790"
690;85;319;"320 Baiyin Parkway";"Mahajanga";"Mahajanga";"37307";"223664661973"
691;86;479;"927 Baha Blanca Parkway";"Simferopol";"Krim";"9495";"821972242086"
692;87;497;"929 Tallahassee Loop";"Springs";"Gauteng";"74671";"800716535041"
693;88;40;"125 Citt del Vaticano Boulevard";"Atlixco";"Puebla";"67912";"48417642933"
694;89;88;"1557 Ktahya Boulevard";"Bradford";"England";"88002";"720998247660"
695;90;489;"870 Ashqelon Loop";"Songkhla";"Songkhla";"84931";"135117278909"
696;91;480;"1740 Portoviejo Avenue";"Sincelejo";"Sucre";"29932";"198123170793"
697;92;113;"1942 Ciparay Parkway";"Cheju";"Cheju";"82624";"978987363654"
698;93;289;"1926 El Alto Avenue";"La Plata";"Buenos Aires";"75543";"846225459260"
699;94;332;"1952 Chatsworth Drive";"Meixian";"Guangdong";"25958";"991562402283"
700;95;53;"1370 Le Mans Avenue";"Bandar Seri Begawan";"Brunei and Muara";"52163";"345679835036"
701;96;183;"984 Effon-Alaiye Avenue";"Goinia";"Gois";"17119";"132986892228"
702;97;592;"832 Nakhon Sawan Manor";"Zalantun";"Inner Mongolia";"49021";"275595571388"
703;98;82;"152 Kitwe Parkway";"Bislig";"Caraga";"53182";"835433605312"
704;99;399;"1697 Tanauan Lane";"Pathankot";"Punjab";"22870";"4764773857"
705;100;41;"1308 Arecibo Way";"Augusta-Richmond County";"Georgia";"30695";"6171054059"
706;101;534;"1599 Plock Drive";"Tete";"Tete";"71986";"817248913162"
707;102;12;"669 Firozabad Loop";"al-Ayn";"Abu Dhabi";"92265";"412903167998"
708;103;268;"588 Vila Velha Manor";"Kimchon";"Kyongsangbuk";"51540";"333339908719"
709;104;238;"1913 Kamakura Place";"Jelets";"Lipetsk";"97287";"942570536750"
710;105;2;"733 Mandaluyong Place";"Abha";"Asir";"77459";"196568435814"
711;106;34;"659 Vaduz Drive";"Ashdod";"Ha Darom";"49708";"709935135487"
712;107;220;"1177 Jelets Way";"Ilorin";"Kwara & Kogi";"3305";"484292626944"
713;108;543;"1386 Yangor Avenue";"Toulon";"Provence-Alpes-Cte";"80720";"449216226468"
714;109;173;"454 Nakhon Sawan Boulevard";"Funafuti";"Funafuti";"76383";"963887147572"
715;110;225;"1867 San Juan Bautista Tuxtepec Avenue";"Ivanovo";"Ivanovo";"78311";"547003310357"
716;111;334;"1532 Dzerzinsk Way";"Merlo";"Buenos Aires";"9599";"330838016880"
717;112;213;"1002 Ahmadnagar Manor";"Huixquilucan";"Mxico";"93026";"371490777743"
718;113;273;"682 Junan Way";"Klerksdorp";"North West";"30418";"622255216127"
719;114;159;"804 Elista Drive";"Enshi";"Hubei";"61069";"379804592943"
720;115;102;"1378 Alvorada Avenue";"Caracas";"Distrito Federal";"75834";"272234298332"
721;116;292;"793 Cam Ranh Avenue";"Lancaster";"California";"87057";"824370924746"
722;117;132;"1079 Tel Aviv-Jaffa Boulevard";"Cuman";"Sucre";"10885";"358178933857"
723;118;148;"442 Rae Bareli Place";"Duisburg";"Nordrhein-Westfalen";"24321";"886636413768"
724;119;365;"1107 Nakhon Sawan Avenue";"Nezahualcyotl";"Mxico";"75149";"867546627903"
725;120;403;"544 Malm Parkway";"Pemalang";"Central Java";"63502";"386759646229"
726;121;176;"1967 Sincelejo Place";"Gandhinagar";"Gujarat";"73644";"577812616052"
727;122;185;"333 Goinia Way";"Grand Prairie";"Texas";"78625";"909029256431"
728;123;476;"1987 Coacalco de Berriozbal Loop";"Shubra al-Khayma";"al-Qalyubiya";"96065";"787654415858"
729;124;147;"241 Mosul Lane";"Dos Quebradas";"Risaralda";"76157";"765345144779"
730;125;164;"211 Chiayi Drive";"Etawah";"Uttar Pradesh";"58186";"665993880048"
731;126;305;"1175 Tanauan Way";"Lima";"Lima";"64615";"937222955822"
732;127;566;"117 Boa Vista Way";"Varanasi (Benares)";"Uttar Pradesh";"6804";"677976133614"
733;128;281;"848 Tafuna Manor";"Ktahya";"Ktahya";"45142";"614935229095"
734;129;85;"569 Baicheng Lane";"Boksburg";"Gauteng";"60304";"490211944645"
735;130;410;"1666 Qomsheh Drive";"Po";"So Paulo";"66255";"582835362905"
736;131;484;"801 Hagonoy Drive";"Smolensk";"Smolensk";"8439";"237426099212"
737;132;236;"1050 Garden Grove Avenue";"Jastrzebie-Zdrj";"Slaskie";"4999";"973047364353"
738;133;302;"1854 Tieli Street";"Liaocheng";"Shandong";"15819";"509492324775"
739;134;190;"758 Junan Lane";"guas Lindas de Gois";"Gois";"82639";"935448624185"
740;135;345;"1752 So Leopoldo Parkway";"Mukateve";"Taka-Karpatia";"14014";"252265130067"
741;136;87;"898 Belm Manor";"Botshabelo";"Free State";"49757";"707169393853"
742;137;541;"261 Saint Louis Way";"Torren";"Coahuila de Zaragoza";"83401";"321944036800"
743;138;421;"765 Southampton Drive";"Qalyub";"al-Qalyubiya";"4285";"23712411567"
744;139;417;"943 Johannesburg Avenue";"Pune";"Maharashtra";"5892";"90921003005"
745;140;211;"788 Atinsk Street";"Hubli-Dharwad";"Karnataka";"81691";"146497509724"
746;141;29;"1749 Daxian Place";"Apeldoorn";"Gelderland";"11044";"963369996279"
747;142;207;"1587 Sullana Lane";"Hohhot";"Inner Mongolia";"85769";"468060467018"
748;143;542;"1029 Dzerzinsk Manor";"Touliu";"Ynlin";"57519";"33173584456"
749;144;123;"1666 Beni-Mellal Place";"Clarksville";"Tennessee";"13377";"9099941466"
750;145;172;"928 Jaffna Loop";"Fukuyama";"Hiroshima";"93762";"581852137991"
751;146;149;"483 Ljubertsy Parkway";"Dundee";"Scotland";"60562";"581174211853"
752;147;266;"374 Bat Yam Boulevard";"Kilis";"Kilis";"97700";"923261616249"
753;148;340;"1027 Songkhla Manor";"Molodetno";"Minsk";"30861";"563660187896"
754;149;491;"999 Sanaa Loop";"Soshanguve";"Gauteng";"3439";"918032330119"
755;150;499;"879 Newcastle Way";"Sterling Heights";"Michigan";"90732";"206841104594"
756;151;555;"1337 Lincoln Parkway";"Urawa";"Saitama";"99457";"597815221267"
757;152;442;"1952 Pune Lane";"Saint-Denis";"Saint-Denis";"92150";"354615066969"
758;153;94;"782 Mosul Street";"Brockton";"Massachusetts";"25545";"885899703621"
759;154;202;"781 Shimonoseki Drive";"Hidalgo";"Michoacn de Ocampo";"95444";"632316273199"
760;155;291;"1560 Jelets Boulevard";"Laiwu";"Shandong";"77777";"189446090264"
761;156;354;"1963 Moscow Place";"Nagaon";"Assam";"64863";"761379480249"
762;157;232;"456 Escobar Way";"Jakarta";"Jakarta Raya";"36061";"719202533520"
763;158;590;"798 Cianjur Avenue";"Yuncheng";"Shanxi";"76990";"499408708580"
764;159;72;"185 Novi Sad Place";"Bern";"Bern";"41778";"904253967161"
765;160;381;"1367 Yantai Manor";"Ondo";"Ondo & Ekiti";"21294";"889538496300"
766;161;420;"1386 Nakhon Sawan Boulevard";"Pyongyang";"Pyongyang-si";"53502";"368899174225"
767;162;187;"369 Papeete Way";"Greensboro";"North Carolina";"66639";"170117068815"
768;163;307;"1440 Compton Place";"Linz";"North Austria";"81037";"931059836497"
769;164;310;"1623 Baha Blanca Manor";"Ljubertsy";"Moskova";"81511";"149981248346"
770;165;533;"97 Shimoga Avenue";"Tel Aviv-Jaffa";"Tel Aviv";"44660";"177167004331"
771;166;297;"1740 Le Mans Loop";"Le Mans";"Pays de la Loire";"22853";"168476538960"
772;167;253;"1287 Xiangfan Boulevard";"Kakamigahara";"Gifu";"57844";"819416131190"
773;168;529;"842 Salzburg Lane";"Tarsus";"Adana";"3313";"697151428760"
774;169;199;"154 Tallahassee Loop";"Hami";"Xinxiang";"62250";"935508855935"
775;170;304;"710 San Felipe del Progreso Avenue";"Lilongwe";"Lilongwe";"76901";"843801144113"
776;171;107;"1540 Wroclaw Drive";"Chandrapur";"Maharashtra";"62686";"182363341674"
777;172;240;"475 Atinsk Way";"Jinchang";"Gansu";"59571";"201705577290"
778;173;407;"1294 Firozabad Drive";"Pingxiang";"Jiangxi";"70618";"161801569569"
779;174;550;"1877 Ezhou Lane";"Udaipur";"Rajasthan";"63337";"264541743403"
780;175;223;"316 Uruapan Street";"Ipoh";"Perak";"58194";"275788967899"
781;176;58;"29 Pyongyang Loop";"Batman";"Batman";"47753";"734780743462"
782;177;186;"1010 Klerksdorp Way";"Graz";"Steiermark";"6802";"493008546874"
783;178;373;"1848 Salala Boulevard";"Ocumare del Tuy";"Miranda";"25220";"48265851133"
784;179;18;"431 Xiangtan Avenue";"Allappuzha (Alleppey)";"Kerala";"4854";"230250973122"
785;180;483;"757 Rustenburg Avenue";"Skikda";"Skikda";"89668";"506134035434"
786;181;330;"146 Johannesburg Way";"Matamoros";"Tamaulipas";"54132";"953689007081"
787;182;456;"1891 Rizhao Boulevard";"Santa Brbara dOeste";"So Paulo";"47288";"391065549876"
788;183;270;"1089 Iwatsuki Avenue";"Kirovo-Tepetsk";"Kirov";"35109";"866092335135"
789;184;405;"1410 Benin City Parkway";"Pereira";"Risaralda";"29747";"104150372603"
790;185;333;"682 Garden Grove Place";"Memphis";"Tennessee";"67497";"72136330362"
791;186;126;"533 al-Ayn Boulevard";"Compton";"California";"8862";"662227486184"
792;187;317;"1839 Szkesfehrvr Parkway";"Luzinia";"Gois";"55709";"947468818183"
793;188;438;"741 Ambattur Manor";"s-Hertogenbosch";"Noord-Brabant";"43310";"302590383819"
794;189;467;"927 Barcelona Street";"Shahr-e Kord";"Chaharmahal va Bakht";"65121";"951486492670"
795;190;195;"435 0 Way";"Haldia";"West Bengali";"74750";"760171523969"
796;191;506;"140 Chiayi Parkway";"Sumy";"Sumy";"38982";"855863906434"
797;192;62;"1166 Changhwa Street";"Bayugan";"Caraga";"58852";"650752094490"
798;193;383;"891 Novi Sad Manor";"Oshawa";"Ontario";"5379";"247646995453"
799;194;513;"605 Rio Claro Parkway";"Tabora";"Tabora";"49348";"352469351088"
800;195;369;"1077 San Felipe de Puerto Plata Place";"Novoterkassk";"Rostov-na-Donu";"65387";"812824036424"
801;196;169;"9 San Miguel de Tucumn Manor";"Firozabad";"Uttar Pradesh";"90845";"956188728558"
802;197;271;"447 Surakarta Loop";"Kisumu";"Nyanza";"10428";"940830176580"
803;198;204;"345 Oshawa Boulevard";"Hino";"Tokyo-to";"32114";"104491201771"
804;199;477;"1792 Valle de la Pascua Place";"Siegen";"Nordrhein-Westfalen";"15540";"419419591240"
805;200;325;"1074 Binzhou Manor";"Mannheim";"Baden-Wrttemberg";"36490";"331132568928"
806;201;109;"817 Bradford Loop";"Changzhou";"Jiangsu";"89459";"264286442804"
807;202;218;"955 Bamenda Way";"Ikerre";"Ondo & Ekiti";"1545";"768481779568"
808;203;194;"1149 A Corua (La Corua) Boulevard";"Haiphong";"Haiphong";"95824";"470884141195"
809;204;35;"387 Mwene-Ditu Drive";"Ashgabat";"Ahal";"8073";"764477681869"
810;205;575;"68 Molodetno Manor";"Witten";"Nordrhein-Westfalen";"4662";"146640639760"
811;206;77;"642 Nador Drive";"Bhusawal";"Maharashtra";"3924";"369050085652"
812;207;184;"1688 Nador Lane";"Gorontalo";"Sulawesi Utara";"61613";"652218196731"
813;208;557;"1215 Pyongyang Parkway";"Usak";"Usak";"25238";"646237101779"
814;209;122;"1679 Antofagasta Street";"Ciudad del Este";"Alto Paran";"86599";"905903574913"
815;210;83;"1304 s-Hertogenbosch Way";"Blumenau";"Santa Catarina";"10925";"90336226227"
816;211;371;"850 Salala Loop";"Nuuk";"Kitaa";"10800";"403404780639"
817;212;51;"624 Oshawa Boulevard";"Balurghat";"West Bengali";"89959";"49677664184"
818;213;74;"43 Dadu Avenue";"Bhilwara";"Rajasthan";"4855";"95666951770"
819;214;7;"751 Lima Loop";"Aden";"Aden";"99405";"756460337785"
820;215;174;"1333 Haldia Street";"Fuyu";"Jilin";"82161";"408304391718"
821;216;65;"660 Jedda Boulevard";"Bellevue";"Washington";"25053";"168758068397"
822;217;518;"1001 Miyakonojo Lane";"Taizz";"Taizz";"67924";"584316724815"
823;218;508;"226 Brest Manor";"Sunnyvale";"California";"2299";"785881412500"
824;219;498;"1229 Valencia Parkway";"Stara Zagora";"Haskovo";"99124";"352679173732"
825;220;28;"1201 Qomsheh Manor";"Aparecida de Goinia";"Gois";"21464";"873492228462"
826;221;448;"866 Shivapuri Manor";"Sambhal";"Uttar Pradesh";"22474";"778502731092"
827;222;251;"1168 Najafabad Parkway";"Kabul";"Kabol";"40301";"886649065861"
828;223;567;"1244 Allappuzha (Alleppey) Place";"Vicente Lpez";"Buenos Aires";"20657";"991802825778"
829;224;593;"1842 Luzinia Boulevard";"Zanzibar";"Zanzibar West";"94420";"706878974831"
830;225;511;"1926 Gingoog Street";"Syrakusa";"Sisilia";"22824";"469738825391"
831;226;235;"810 Palghat (Palakkad) Boulevard";"Jaroslavl";"Jaroslavl";"73431";"516331171356"
832;227;324;"1820 Maring Parkway";"Mandi Bahauddin";"Punjab";"88307";"99760893676"
833;228;243;"60 Poos de Caldas Street";"Jodhpur";"Rajasthan";"82338";"963063788669"
834;229;22;"1014 Loja Manor";"Ambattur";"Tamil Nadu";"66851";"460795526514"
835;230;37;"201 Effon-Alaiye Way";"Asuncin";"Asuncin";"64344";"684192903087"
836;231;439;"430 Alessandria Loop";"Saarbrcken";"Saarland";"47446";"669828224459"
837;232;406;"754 Valencia Place";"Phnom Penh";"Phnom Penh";"87911";"594319417514"
838;233;26;"356 Olomouc Manor";"Anpolis";"Gois";"93323";"22326410776"
839;234;86;"1256 Bislig Boulevard";"Botosani";"Botosani";"50598";"479007229460"
840;235;559;"954 Kimchon Place";"Uttarpara-Kotrung";"West Bengali";"42420";"541327526474"
841;236;596;"885 Yingkou Manor";"Zaria";"Kaduna";"31390";"588964509072"
842;237;216;"1736 Cavite Place";"Idfu";"Qina";"98775";"431770603551"
843;238;233;"346 Skikda Parkway";"Jalib al-Shuyukh";"Hawalli";"90628";"630424482919"
844;239;96;"98 Stara Zagora Boulevard";"Buenaventura";"Valle";"76448";"610173756082"
845;240;527;"1479 Rustenburg Boulevard";"Tanza";"Southern Tagalog";"18727";"727785483194"
846;241;357;"647 A Corua (La Corua) Street";"Naju";"Chollanam";"36971";"792557457753"
847;242;473;"1964 Gijn Manor";"Shimoga";"Karnataka";"14408";"918119601885"
848;243;118;"47 Syktyvkar Lane";"Ciomas";"West Java";"22236";"63937119031"
849;244;226;"1148 Saarbrcken Parkway";"Iwaki";"Fukushima";"1921";"137773001988"
850;245;578;"1103 Bilbays Parkway";"Xiangfan";"Hubei";"87660";"279979529227"
851;246;422;"1246 Boksburg Parkway";"Qinhuangdao";"Hebei";"28349";"890283544295"
852;247;454;"1483 Pathankot Street";"San Miguel de Tucumn";"Tucumn";"37288";"686015532180"
853;248;294;"582 Papeete Loop";"Lapu-Lapu";"Central Visayas";"27722";"569868543137"
854;249;553;"300 Junan Street";"Uijongbu";"Kyonggi";"81314";"890289150158"
855;250;328;"829 Grand Prairie Way";"Maring";"Paran";"6461";"741070712873"
856;251;124;"1473 Changhwa Parkway";"Coacalco de Berriozbal";"Mxico";"75933";"266798132374"
857;252;520;"1309 Weifang Street";"Tallahassee";"Florida";"57338";"435785045362"
858;253;535;"1760 Oshawa Manor";"Tianjin";"Tianjin";"38140";"56257502250"
859;254;390;"786 Stara Zagora Way";"Oyo";"Oyo & Osun";"98332";"716256596301"
860;255;198;"1966 Tonghae Street";"Halle/Saale";"Anhalt Sachsen";"36481";"567359279425"
861;256;312;"1497 Yuzhou Drive";"London";"England";"3433";"246810237916"
862;258;338;"752 Ondo Loop";"Miyakonojo";"Miyazaki";"32474";"134673576619"
863;259;413;"1338 Zalantun Lane";"Poos de Caldas";"Minas Gerais";"45403";"840522972766"
864;260;192;"127 Iwakuni Boulevard";"Hagonoy";"Central Luzon";"20777";"987442542471"
865;261;342;"51 Laredo Avenue";"Monywa";"Sagaing";"68146";"884536620568"
866;262;64;"771 Yaound Manor";"Beira";"Sofala";"86768";"245477603573"
867;263;460;"532 Toulon Street";"Santiago de los Caballeros";"Santiago";"69517";"46871694740"
868;264;197;"1027 Banjul Place";"Halisahar";"West Bengali";"50390";"538241037443"
869;265;136;"1158 Mandi Bahauddin Parkway";"Datong";"Shanxi";"98484";"276555730211"
870;266;548;"862 Xintai Lane";"Tuguegarao";"Cagayan Valley";"30065";"265153400632"
871;267;414;"816 Cayenne Parkway";"Portoviejo";"Manab";"93629";"282874611748"
872;268;323;"1831 Nam Dinh Loop";"Mandaluyong";"National Capital Reg";"51990";"322888976727"
873;269;203;"446 Kirovo-Tepetsk Lane";"Higashiosaka";"Osaka";"19428";"303967439816"
874;270;378;"682 Halisahar Place";"Olomouc";"Severn Morava";"20536";"475553436330"
875;271;447;"1587 Loja Manor";"Salzburg";"Salzburg";"5410";"621625204422"
876;272;298;"1762 Paarl Parkway";"Lengshuijiang";"Hunan";"53928";"192459639410"
877;273;395;"1519 Ilorin Place";"Palghat (Palakkad)";"Kerala";"49298";"357445645426"
878;274;446;"920 Kumbakonam Loop";"Salinas";"California";"75090";"685010736240"
879;275;255;"906 Goinia Way";"Kalisz";"Wielkopolskie";"83565";"701767622697"
880;276;283;"1675 Xiangfan Manor";"Kumbakonam";"Tamil Nadu";"11763";"271149517630"
881;277;584;"85 San Felipe de Puerto Plata Drive";"Yantai";"Shandong";"46063";"170739645687"
882;278;445;"144 South Hill Loop";"Salamanca";"Guanajuato";"2012";"45387294817"
883;279;263;"1884 Shikarpur Avenue";"Karnal";"Haryana";"85548";"959949395183"
884;280;404;"1980 Kamjanets-Podilskyi Street";"Peoria";"Illinois";"89502";"874337098891"
885;281;573;"1944 Bamenda Way";"Warren";"Michigan";"24645";"75975221996"
886;282;374;"556 Baybay Manor";"Ogbomosho";"Oyo & Osun";"55802";"363982224739"
887;283;222;"457 Tongliao Loop";"Inegl";"Bursa";"56254";"880756161823"
888;284;514;"600 Bradford Street";"Tabriz";"East Azerbaidzan";"96204";"117592274996"
889;285;389;"1006 Santa Brbara dOeste Manor";"Owo";"Ondo & Ekiti";"36229";"85059738746"
890;286;175;"1308 Sumy Loop";"Fuzhou";"Fujian";"30657";"583021225407"
891;287;411;"1405 Chisinau Place";"Ponce";"Ponce";"8160";"62781725285"
892;288;277;"226 Halifax Street";"Korla";"Xinxiang";"58492";"790651020929"
893;289;69;"1279 Udine Parkway";"Benin City";"Edo & Delta";"75860";"195003555232"
894;290;386;"1336 Benin City Drive";"Otsu";"Shiga";"46044";"341242939532"
895;291;152;"1155 Liaocheng Place";"Effon-Alaiye";"Oyo & Osun";"22650";"558236142492"
896;292;522;"1993 Tabuk Lane";"Tambaram";"Tamil Nadu";"64221";"648482415405"
897;293;563;"86 Higashiosaka Lane";"Valle de Santiago";"Guanajuato";"33768";"957128697225"
898;294;279;"1912 Allende Manor";"Kowloon and New Kowloon";"Kowloon and New Kowl";"58124";"172262454487"
899;295;562;"544 Tarsus Boulevard";"Valle de la Pascua";"Gurico";"53145";"892523334"
900;296;433;"1936 Cuman Avenue";"Roanoke";"Virginia";"61195";"976798660411"
901;297;470;"1192 Tongliao Street";"Sharja";"Sharja";"19065";"350970907017"
902;298;146;"44 Najafabad Way";"Donostia-San Sebastin";"Baskimaa";"61391";"96604821070"
903;299;140;"32 Pudukkottai Lane";"Dayton";"Ohio";"38834";"967274728547"
904;300;274;"661 Chisinau Lane";"Kolpino";"Pietari";"8856";"816436065431"
905;301;400;"951 Stara Zagora Manor";"Patiala";"Punjab";"98573";"429925609431"
906;302;9;"922 Vila Velha Loop";"Ahmadnagar";"Maharashtra";"4085";"510737228015"
907;303;387;"898 Jining Lane";"Oulu";"Pohjois-Pohjanmaa";"40070";"161643343536"
908;304;205;"1635 Kuwana Boulevard";"Hiroshima";"Hiroshima";"52137";"710603868323"
909;305;398;"41 El Alto Parkway";"Parbhani";"Maharashtra";"56883";"51917807050"
910;306;254;"1883 Maikop Lane";"Kaliningrad";"Kaliningrad";"68469";"96110042435"
911;307;536;"1908 Gaziantep Place";"Tiefa";"Liaoning";"58979";"108053751300"
912;308;455;"687 Alessandria Parkway";"Sanaa";"Sanaa";"57587";"407218522294"
913;309;99;"827 Yuncheng Drive";"Callao";"Callao";"79047";"504434452842"
